rank,read_tier,title,year,authors,venue,doi,url,cited_by_count,source_query,concepts,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,relevance_score,hostile_reason,abstract
174,deep_read,VINS-Mono: A Robust and Versatile Monocular Visual-Inertial State Estimator,2018,Tong Qin; Peiliang Li; Shaojie Shen,IEEE Transactions on Robotics,10.1109/tro.2018.2853729,https://doi.org/10.1109/tro.2018.2853729,4396,robot world model,Inertial measurement unit; Computer science; Initialization; Odometry; Artificial intelligence; Computer vision; Robotics and Sensor-Based Localization; Advanced Vision and Imaging; Indoor and Outdoor Localization Technologies,Predict visual consequences of robot actions as a proxy for embodied world modeling.,"task-specific learned dynamics, representation, or planning model",the selected training objective exposes the deployment-critical model errors,downstream planner/controller response to model errors; observability of repair-relevant state,"localized action failures, planner-induced counterexamples, and post-failure repair credit assignment",Weakens novelty of any generic online adaptation or residual model-repair framing.,"Whether repairs are selected by decision failures rather than global prediction fit, and whether repair locality is explicit.",11.0,,"One camera and one low-cost inertial measurement unit (IMU) form a monocular visual-inertial system (VINS), which is the minimum sensor suite (in size, weight, and power) for the metric six degrees-of-freedom (DOF) state estimation. In this paper, we present VINS-Mono: a robust and versatile monocular visual-inertial state estimator. Our approach starts with a robust procedure for estimator initialization. A tightly coupled, nonlinear optimization-based method is used to obtain highly accurate visual-inertial odometry by fusing preintegrated IMU measurements and feature observations. A loop detection module, in combination with our tightly coupled formulation, enables relocalization with minimum computation. We additionally perform 4-DOF pose graph optimization to enforce the global consistency. Furthermore, the proposed system can reuse a map by saving and loading it in an efficient way. The current and previous maps can be merged together by the global pose graph optimization. We validate the performance of our system on public datasets and real-world experiments and compare against other state-of-the-art algorithms. We also perform an onboard closed-loop autonomous flight on the microaerial-vehicle platform and port the algorithm to an iOS-based demonstration. We highlight that the proposed work is a reliable, complete, and versatile system that is applicable for different applications that require high accuracy in localization. We open source our implementations for both PCs ( <uri xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">https://github.com/HKUST-Aerial-Robotics/VINS-Mono</uri> ) and iOS mobile devices ( <uri xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink""> https://github.com/HKUST-Aerial-Robotics/VINS-Mobile</uri> )."
175,deep_read,Using occupancy grids for mobile robot perception and navigation,1989,Alberto Elfes,Computer,10.1109/2.30720,https://doi.org/10.1109/2.30720,2173,robot world model,Occupancy grid mapping; Occupancy; Computer science; Grid; Probabilistic logic; Mobile robot; Robot; Bayesian probability; Artificial intelligence; Bayesian Modeling and Causal Inference; Data Management and Algorithms; Robotics and Sensor-Based Localization,Predict visual consequences of robot actions as a proxy for embodied world modeling.,uncertainty-aware model estimation; causal or counterfactual structure learning,epistemic uncertainty is calibrated enough to guide action,model structure during deployment; downstream planner/controller response to model errors; observability of repair-relevant state,"localized action failures, planner-induced counterexamples, and post-failure repair credit assignment",Weakens novelty of using action-conditioned prediction as a robot world model.,Whether visually plausible prediction errors are the right unit of correction for embodied decisions.,11.0,,"An approach to robot perception and world modeling that uses a probabilistic tesselated representation of spatial information called the occupancy grid is reviewed. The occupancy grid is a multidimensional random field that maintains stochastic estimates of the occupancy state of the cells in a spatial lattice. To construct a sensor-derived map of the robot's world, the cell state estimates are obtained by interpreting the incoming range readings using probabilistic sensor models. Bayesian estimation procedures allow the incremental updating of the occupancy grid, using readings taken from several sensors over multiple points of view. The use of occupancy grids from mapping and for navigation is examined. Operations on occupancy grids and extensions of the occupancy grid framework are briefly considered.< <ETX xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">&gt;</ETX>"
176,deep_read,Ten Years of Industrie 4.0,2022,Henning Kagermann; Wolfgang Wahlster,Sci,10.3390/sci4030026,https://doi.org/10.3390/sci4030026,920,model repair planning robotics,Industry 4.0; Digital transformation; Cyber-physical system; Interoperability; Cloud computing; Agile software development; Digitization; Business; Engineering management; Knowledge management; Process management; Engineering,Advance embodied world/dynamics modeling around: Ten Years of Industrie 4.0.,"task-specific learned dynamics, representation, or planning model",the selected training objective exposes the deployment-critical model errors,downstream planner/controller response to model errors; observability of repair-relevant state,semantic priors overriding physical evidence,Weakens novelty of any generic online adaptation or residual model-repair framing.,"Whether repairs are selected by decision failures rather than global prediction fit, and whether repair locality is explicit.",11.0,,"A decade after its introduction, Industrie 4.0 has been established globally as the dominant paradigm for the digital transformation of the manufacturing industry. Amalgamating research-based results and practical experience from the German industry, this contribution reviews the progress made in implementing Industrie 4.0 and identifies future fields of action from a technological and application-oriented perspective. Putting the human in the center, Industrie 4.0 is the basis for data-based value creation, innovative business models, and agile forms of organization. Today, in the German manufacturing industry, the Internet of Things and cyber–physical production systems are a reality in newly built factories, and the connectivity of machinery has been significantly increased in existing factories. Now, the trends of industrial AI, edge computing up to the edge cloud, 5G in the factory, team robotics, autonomous intralogistics systems, and trustworthy data infrastructures must be leveraged to strengthen resilience, sovereignty, semantic interoperability, and sustainability. This enables the creation of digital innovation ecosystems that ensure long-term adaptability in a volatile economic and geopolitical environment. In sum, this review represents a comprehensive assessment of the status quo and identifies what is needed in the future to reap the rewards of the groundwork done in the first ten years of Industrie 4.0."
177,deep_read,Stochastic Model Predictive Control: An Overview and Perspectives for Future Research,2016,Ali Mesbah,IEEE Control Systems,10.1109/mcs.2016.2602087,https://doi.org/10.1109/mcs.2016.2602087,886,robot dynamics model adaptation online,Model predictive control; Multivariable calculus; Computer science; Control (management); Control engineering; Field (mathematics); Stochastic control; Nonlinear system; Key (lock); Control theory (sociology); Simplicity; Stochastic modelling,Use a learned or hybrid world/action model to improve planning or control.,planning by rolling out a learned or hybrid dynamics model,model errors remain tolerable over the planner horizon,observability of repair-relevant state,"localized action failures, planner-induced counterexamples, and post-failure repair credit assignment",Weakens novelty of any generic online adaptation or residual model-repair framing.,"Whether repairs are selected by decision failures rather than global prediction fit, and whether repair locality is explicit.",11.0,,"Model predictive control (MPC) has demonstrated exceptional success for the high-performance control of complex systems. The conceptual simplicity of MPC as well as its ability to effectively cope with the complex dynamics of systems with multiple inputs and outputs, input and state/output constraints, and conflicting control objectives have made it an attractive multivariable constrained control approach. This article gives an overview of the main developments in the area of stochastic model predictive control (SMPC) in the past decade and provides the reader with an impression of the different SMPC algorithms and the key theoretical challenges in stochastic predictive control without undue mathematical complexity. The general formulation of a stochastic OCP is first presented, followed by an overview of SMPC approaches for linear and nonlinear systems. Suggestions of some avenues for future research in this rapidly evolving field concludes the article."
178,deep_read,Robots As Intentional Agents: Using Neuroscientific Methods to Make Robots Appear More Social,2017,Eva Wiese; Giorgio Metta; Agnieszka Wykowska,Frontiers in Psychology,10.3389/fpsyg.2017.01663,https://doi.org/10.3389/fpsyg.2017.01663,297,embodied world model robot manipulation robotics,Psychology; Robot; Cognitive science; Cognitive psychology; Artificial intelligence; Action Observation and Synchronization; Embodied and Extended Cognition; Face Recognition and Perception,Advance embodied world/dynamics modeling around: Robots As Intentional Agents: Using Neuroscientific Methods to Make Robots Appear More Social.,"task-specific learned dynamics, representation, or planning model",the selected training objective exposes the deployment-critical model errors,downstream planner/controller response to model errors; observability of repair-relevant state,semantic priors overriding physical evidence,Weakens novelty of any generic online adaptation or residual model-repair framing.,"Whether repairs are selected by decision failures rather than global prediction fit, and whether repair locality is explicit.",10.985,,"Robots are increasingly envisaged as our future cohabitants. However, while considerable progress has been made in recent years in terms of their technological realization, the ability of robots to interact with humans in an intuitive and social way is still quite limited. An important challenge for social robotics is to determine how to design robots that can perceive the user's needs, feelings, and intentions, and adapt to users over a broad range of cognitive abilities. It is conceivable that if robots were able to adequately demonstrate these skills, humans would eventually accept them as social companions. We argue that the best way to achieve this is using a systematic experimental approach based on behavioral and physiological neuroscience methods such as motion/eye-tracking, electroencephalography, or functional near-infrared spectroscopy embedded in interactive human-robot paradigms. This approach requires understanding how humans interact with each other, how they perform tasks together and how they develop feelings of social connection over time, and using these insights to formulate design principles that make social robots attuned to the workings of the human brain. In this review, we put forward the argument that the likelihood of artificial agents being perceived as social companions can be increased by designing them in a way that they are perceived as intentional agents that activate areas in the human brain involved in social-cognitive processing. We first review literature related to social-cognitive processes and mechanisms involved in human-human interactions, and highlight the importance of perceiving others as intentional agents to activate these social brain areas. We then discuss how attribution of intentionality can positively affect human-robot interaction by (a) fostering feelings of social connection, empathy and prosociality, and by (b) enhancing performance on joint human-robot tasks. Lastly, we describe circumstances under which attribution of intentionality to robot agents might be disadvantageous, and discuss challenges associated with designing social robots that are inspired by neuroscientific principles."
179,deep_read,Exploiting inherent robustness and natural dynamics in the control of bipedal walking robots,2000,Jerry Pratt; Gill A. Pratt,DSpace@MIT (Massachusetts Institute of Technology),,http://hdl.handle.net/1721.1/9084,191,learned dynamics model robot control robotics,Robustness (evolution); Robot; Swing; Control theory (sociology); Traverse; Bipedalism; Computer science; Center of pressure (fluid mechanics); Simulation; Engineering; Robotic Locomotion and Control; Robot Manipulation and Learning,Model action-conditioned physical change for manipulation/contact robustly enough to support robot decisions.,"task-specific learned dynamics, representation, or planning model",the selected training objective exposes the deployment-critical model errors,contact/friction regime; model structure during deployment; observability of repair-relevant state,"localized action failures, planner-induced counterexamples, and post-failure repair credit assignment",Weakens novelty of planner-in-the-loop learned dynamics control.,"How planner-exposed model counterexamples are converted into bounded, targeted world-model edits.",10.955,,"Walking is an easy task for most humans and animals. Two characteristics which make it easy are the inherent robustness (tolerance to variation) of the walking problem and the natural dynamics of the walking mechanism. In this thesis we show how understanding and exploiting these two characteristics can aid in the control of bipedal robots. Inherent robustness allows for the use of simple, low impedance controllers. Natural dynamics reduces the requirements of the controller. We present a series of simple physical models of bipedal walking. The insight gained from these models is used in the development of three planar (motion only in the sagittal plane) control algorithms. The first uses simple strategies to control the robot to walk. The second exploits the natural dynamics of a kneecap, compliant ankle, and passive swing-leg. The third achieves fast swing of the swing-leg in order to enable the robot to walk quickly (1:25m s). These algorithms are implemented on Spring Flamingo, a planar bipedal walking robot, which was designed and built for this thesis. Using these algorithms, the robot can stand and balance, start and stop walking, walk at a range of speeds, and traverse slopes and rolling terrain. Three-dimensional walking on flat ground is implemented and tested in simulation. The dynamics of the sagittal plane are sufficiently decoupled from the dynamics of the frontal and transverse planes such that control of each can be treated separately. We achieve three-dimensional walking by adding lateral balance to the planar algorithms. Tests of this approach on a real three-dimensional robot will lead to a more complete understanding of the control of bipedal walking in robots and humans."
180,deep_read,Model-Based Reinforcement Learning for Closed-Loop Dynamic Control of Soft Robotic Manipulators,2018,Thomas George Thuruthel; Egidio Falotico; Federico Renda; Cecilia Laschi,IEEE Transactions on Robotics,10.1109/tro.2018.2878318,https://doi.org/10.1109/tro.2018.2878318,390,model based reinforcement learning robotics dynamics model robotics,Control theory (sociology); Kinematics; Reinforcement learning; Soft robotics; Computer science; Trajectory; Control engineering; Piecewise; Artificial neural network; Robot manipulator; Robot; Engineering,Model action-conditioned physical change for manipulation/contact robustly enough to support robot decisions.,reinforcement-learning objective around a learned model,reward feedback is the main signal for correcting model use,contact/friction regime; model structure during deployment; observability of repair-relevant state,"localized action failures, planner-induced counterexamples, and post-failure repair credit assignment",Weakens novelty of planner-in-the-loop learned dynamics control.,"How planner-exposed model counterexamples are converted into bounded, targeted world-model edits.",10.95,,"Dynamic control of soft robotic manipulators is an open problem yet to be well explored and analyzed. Most of the current applications of soft robotic manipulators utilize static or quasi-dynamic controllers based on kinematic models or linearity in the joint space. However, such approaches are not truly exploiting the rich dynamics of a soft-bodied system. In this paper, we present a model-based policy learning algorithm for closed-loop predictive control of a soft robotic manipulator. The forward dynamic model is represented using a recurrent neural network. The closed-loop policy is derived using trajectory optimization and supervised learning. The approach is verified first on a simulated piecewise constant strain model of a cable driven under-actuated soft manipulator. Furthermore, we experimentally demonstrate on a soft pneumatically actuated manipulator how closed-loop control policies can be derived that can accommodate variable frequency control and unmodeled external loads."
181,deep_read,"Metaverse for Healthcare: A Survey on Potential Applications, Challenges and Future Directions",2023,Rajeswari Chengoden; Nancy Victor; Thien Huynh‐The; Gokul Yenduri; Rutvij H. Jhaveri; Mamoun Alazab; Sweta Bhattacharya; Pawan Hegde,IEEE Access,10.1109/access.2023.3241628,https://doi.org/10.1109/access.2023.3241628,481,latent dynamics robot manipulation,Metaverse; Computer science; Health care; Augmented reality; Adaptation (eye); Human–computer interaction; Rendering (computer graphics); Virtual reality; Automation; Data science; IoT and Edge/Fog Computing; Virtual Reality Applications and Impacts,"Advance embodied world/dynamics modeling around: Metaverse for Healthcare: A Survey on Potential Applications, Challenges and Future Directions.","task-specific learned dynamics, representation, or planning model",the selected training objective exposes the deployment-critical model errors,downstream planner/controller response to model errors; observability of repair-relevant state,semantic priors overriding physical evidence,Weakens novelty of any generic online adaptation or residual model-repair framing.,"Whether repairs are selected by decision failures rather than global prediction fit, and whether repair locality is explicit.",10.905,,"The rapid progress in digitalization and automation have led to an accelerated growth in healthcare, generating novel models that are creating new channels for rendering treatment at reduced cost. The Metaverse is an emerging technology in the digital space which has huge potential in healthcare, enabling realistic experiences to the patients as well as the medical practitioners. The Metaverse is a confluence of multiple enabling technologies such as artificial intelligence, virtual reality, augmented reality, internet of medical devices, robotics, quantum computing, etc. through which new directions for providing quality healthcare treatment and services can be explored. The amalgamation of these technologies ensures immersive, intimate and personalized patient care. It also provides adaptive intelligent solutions that eliminates the barriers between healthcare providers and receivers. This article provides a comprehensive review of the Metaverse for healthcare, emphasizing on the state of the art, the enabling technologies to adopt the Metaverse for healthcare, the potential applications, and the related projects. The issues in the adaptation of the Metaverse for healthcare applications are also identified and the plausible solutions are highlighted as part of future research directions."
182,deep_read,Telerobotic neurovascular interventions with magnetic manipulation,2022,Yoonho Kim; Emily Genevriere; Pablo Harker; Jaehun Choe; Marcin Balicki; Robert W. Regenhardt; Justin E. Vranic; Adam A. Dmytriw,Science Robotics,10.1126/scirobotics.abg9907,https://doi.org/10.1126/scirobotics.abg9907,379,tactile world model robot manipulation,Neurovascular bundle; Medicine; Teleoperation; Fluoroscopy; Biomedical engineering; Robot; Computer science; Radiology; Surgery; Soft Robotics and Applications; Micro and Nano Robotics; Vascular Malformations Diagnosis and Treatment,Model action-conditioned physical change for manipulation/contact robustly enough to support robot decisions.,"task-specific learned dynamics, representation, or planning model",the selected training objective exposes the deployment-critical model errors,contact/friction regime; model structure during deployment; observability of repair-relevant state,semantic priors overriding physical evidence,Weakens novelty of planner-in-the-loop learned dynamics control.,"How planner-exposed model counterexamples are converted into bounded, targeted world-model edits.",10.895,,"Advances in robotic technology have been adopted in various subspecialties of both open and minimally invasive surgery, offering benefits such as enhanced surgical precision and accuracy with reduced fatigue of the surgeon. Despite the advantages, robotic applications to endovascular neurosurgery have remained largely unexplored because of technical challenges such as the miniaturization of robotic devices that can reach the complex and tortuous vasculature of the brain. Although some commercial systems enable robotic manipulation of conventional guidewires for coronary and peripheral vascular interventions, they remain unsuited for neurovascular applications because of the considerably smaller and more tortuous anatomy of cerebral arteries. Here, we present a teleoperated robotic neurointerventional platform based on magnetic manipulation. Our system consists of a magnetically controlled guidewire, a robot arm with an actuating magnet to steer the guidewire, a set of motorized linear drives to advance or retract the guidewire and a microcatheter, and a remote-control console to operate the system under real-time fluoroscopy. We demonstrate our system's capability to navigate narrow and winding pathways both in vitro with realistic neurovascular phantoms representing the human anatomy and in vivo in the porcine brachial artery with accentuated tortuosity for preclinical evaluation. We further demonstrate telerobotically assisted therapeutic procedures including coil embolization and clot retrieval thrombectomy for treating cerebral aneurysms and ischemic stroke, respectively. Our system could enable safer and quicker access to hard-to-reach lesions while minimizing the radiation exposure to physicians and open the possibility of remote procedural services to address challenges in current stroke systems of care."
183,deep_read,The shape – morphing performance of magnetoactive soft materials,2021,Anil Bastola; Mokarram Hossain,Materials & Design,10.1016/j.matdes.2021.110172,https://doi.org/10.1016/j.matdes.2021.110172,179,deformable object dynamics robot learning,Morphing; Soft robotics; Materials science; Smart material; Actuator; Soft materials; Nanotechnology; Metamaterial; Computer science; Mechanical engineering; Advanced Materials and Mechanics; Micro and Nano Robotics,Model action-conditioned physical change for manipulation/contact robustly enough to support robot decisions.,"task-specific learned dynamics, representation, or planning model",the selected training objective exposes the deployment-critical model errors,contact/friction regime; model structure during deployment; observability of repair-relevant state,"localized action failures, planner-induced counterexamples, and post-failure repair credit assignment",Weakens novelty of planner-in-the-loop learned dynamics control.,"How planner-exposed model counterexamples are converted into bounded, targeted world-model edits.",10.895,,"Magnetoactive soft materials (MSMs) are soft polymeric composites filled with magnetic particles that are an emerging class of smart and multifunctional materials with immense potentials to be used in various applications including but not limited to artificial muscles, soft robotics, controlled drug delivery, minimally invasive surgery, and metamaterials. Advantages of MSMs include remote contactless actuation with multiple actuation modes, high actuation strain and strain rate, self-sensing, and fast response etc. Having broad functional behaviours offered by the magnetic fillers embedded within non-magnetic matrices, MSMs are undoubtedly one of the most promising materials in applications where shape-morphing, dynamic locomotion, and reconfigurable structures are highly required. This review article provides a comprehensive picture of the MSMs focusing on the materials, manufacturing processes, programming and actuation techniques, behaviours, experimental characterisations, and device-related achievements with the current state-of-the-art and discusses future perspectives. Overall, this article not only provides a comprehensive overview of MSMs’ research and development but also functions as a systematic guideline towards the development of multifunctional, shape-morphing, and sophisticated magnetoactive devices."
184,deep_read,Synthesis for Robots: Guarantees and Feedback for Robot Behavior,2018,Hadas Kress‐Gazit; Morteza Lahijanian; Vasumathi Raman,Annual Review of Control Robotics and Autonomous Systems,10.1146/annurev-control-060117-104838,https://doi.org/10.1146/annurev-control-060117-104838,170,model predictive control learned dynamics robot robotics,Computer science; Robot; Task (project management); Robotics; Artificial intelligence; Process (computing); Controller (irrigation); Human–computer interaction; State (computer science); Control (management); Formal methods; Behavior-based robotics,Model action-conditioned physical change for manipulation/contact robustly enough to support robot decisions.,"task-specific learned dynamics, representation, or planning model",the selected training objective exposes the deployment-critical model errors,contact/friction regime; model structure during deployment; observability of repair-relevant state,semantic priors overriding physical evidence,Weakens novelty of planner-in-the-loop learned dynamics control.,Whether visually plausible prediction errors are the right unit of correction for embodied decisions.,10.85,,"Robot control for tasks such as moving around obstacles or grasping objects has advanced significantly in the last few decades. However, controlling robots to perform complex tasks is still accomplished largely by highly trained programmers in a manual, time-consuming, and error-prone process that is typically validated only through extensive testing. Formal methods are mathematical techniques for reasoning about systems, their requirements, and their guarantees. Formal synthesis for robotics refers to frameworks for specifying tasks in a mathematically precise language and automatically transforming these specifications into correct-by-construction robot controllers or into a proof that the task cannot be done. Synthesis allows users to reason about the task specification rather than its implementation, reduces implementation error, and provides behavioral guarantees for the resulting controller. This article reviews the current state of formal synthesis for robotics and surveys the landscape of abstractions, specifications, and synthesis algorithms that enable it."
185,deep_read,Perceptive whole‐body planning for multilegged robots in confined spaces,2020,Russell Buchanan; Lorenz Wellhausen; Marko Bjelonic; Tirthankar Bandyopadhyay; Navinda Kottege; Marco Hutter,Journal of Field Robotics,10.1002/rob.21974,https://doi.org/10.1002/rob.21974,63,legged robot learned dynamics adaptation,Hexapod; Robot; Terrain; Trajectory; Computer science; Kinematics; Collision avoidance; Simulation; Swing; Legged robot; Artificial intelligence; Computer vision,Model robot-body/environment dynamics well enough for adaptive locomotion control.,"task-specific learned dynamics, representation, or planning model",model errors remain tolerable over the planner horizon,observability of repair-relevant state,planner exploitation of small model errors,Weakens novelty of any generic online adaptation or residual model-repair framing.,"Whether repairs are selected by decision failures rather than global prediction fit, and whether repair locality is explicit.",10.815,,"Abstract Legged robots are exceedingly versatile and have the potential to navigate complex, confined spaces due to their many degrees of freedom. As a result of the computational complexity, there exist no online planners for perceptive whole‐body locomotion of robots in tight spaces. In this paper, we present a new method for perceptive planning for multilegged robots, which generates body poses, footholds, and swing trajectories for collision avoidance. Measurements from an onboard depth camera are used to create a three‐dimensional map of the terrain around the robot. We randomly sample body poses then smooth the resulting trajectory while satisfying several constraints, such as robot kinematics and collision avoidance. Footholds and swing trajectories are computed based on the terrain, and the robot body pose is optimized to ensure stable locomotion while not colliding with the environment. Our method is designed to run online on a real robot and generate trajectories several meters long. We first tested our algorithm in several simulations with varied confined spaces using the quadrupedal robot ANYmal. We also simulated experiments with the hexapod robot Weaver to demonstrate applicability to different legged robot configurations. Then, we demonstrated our whole‐body planner in several online experiments both indoors and in realistic scenarios at an emergency rescue training facility. ANYmal, which has a nominal standing height of 80 cm and a width of 59 cm, navigated through several representative disaster areas with openings as small as 60 cm. Three‐meter trajectories were replanned with 500 ms update times."
186,deep_read,"Evolutionary Robotics: What, Why, and Where to",2015,Stéphane Doncieux; Nicolas Bredèche; Jean-Baptiste Mouret; A. E. Eiben,Frontiers in Robotics and AI,10.3389/frobt.2015.00004,https://doi.org/10.3389/frobt.2015.00004,262,sim to real robot dynamics adaptation,Evolutionary robotics; Robotics; Artificial intelligence; Robot; Computer science; Variation (astronomy); Evolutionary Algorithms and Applications; Reinforcement Learning in Robotics; Modular Robots and Swarm Intelligence,"Advance embodied world/dynamics modeling around: Evolutionary Robotics: What, Why, and Where to.",reinforcement-learning objective around a learned model,reward feedback is the main signal for correcting model use,downstream planner/controller response to model errors; observability of repair-relevant state,"localized action failures, planner-induced counterexamples, and post-failure repair credit assignment",Weakens novelty of any generic online adaptation or residual model-repair framing.,"Whether repairs are selected by decision failures rather than global prediction fit, and whether repair locality is explicit.",10.81,,"Evolutionary robotics applies the selection, variation, and heredity principles of natural evolution to the design of robots with embodied intelligence. It can be considered as a subfield of robotics that aims to create more robust and adaptive robots. A pivotal feature of the evolutionary approach is that it considers the whole robot at once, and enables the exploitation of robot features in a holistic manner. Evolutionary robotics can also be seen as an innovative approach to the study of evolution based on a new kind of experimentalism. The use of robots as a substrate can help address questions that are difficult, if not impossible, to investigate through computer simulations or biological studies. In this paper we consider the main achievements of evolutionary robotics, focusing particularly on its contributions to both engineering and biology. We briefly elaborate on methodological issues, review some of the most interesting findings, and discuss important open issues and promising avenues for future work."
187,deep_read,"Neuromuscular Controller Embedded in a Powered Ankle Exoskeleton: Effects on Gait, Clinical Features and Subjective Perspective of Incomplete Spinal Cord Injured Subjects",2020,Federica Tamburella; Nevio Luigi Tagliamonte; Iolanda Pisotta; Marcella Masciullo; M. Arquilla; Edwin van Asseldonk; Herman van der Kooij; Amy R. Wu,IEEE Transactions on Neural Systems and Rehabilitation Engineering,10.1109/tnsre.2020.2984790,https://doi.org/10.1109/tnsre.2020.2984790,55,legged robot learned dynamics adaptation,Physical medicine and rehabilitation; Exoskeleton; Powered exoskeleton; Gait; Spinal cord injury; Ankle; Gait training; Wearable computer; Physical therapy; Simulation; Rehabilitation; Medicine,Model robot-body/environment dynamics well enough for adaptive locomotion control.,residual correction on top of a nominal model,a smooth additive residual can absorb the important physical mismatch,observability of repair-relevant state,semantic priors overriding physical evidence,Weakens novelty of any generic online adaptation or residual model-repair framing.,"Whether repairs are selected by decision failures rather than global prediction fit, and whether repair locality is explicit.",10.775,,"Powered exoskeletons are among the emerging technologies claiming to assist functional ambulation. The potential to adapt robotic assistance based on specific motor abilities of incomplete spinal cord injury (iSCI) subjects, is crucial to optimize Human-Robot Interaction (HRI). Achilles, an autonomous wearable robot able to assist ankle during walking, was developed for iSCI subjects and utilizes a NeuroMuscular Controller (NMC). NMC can be used to adapt robotic assistance based on specific residual functional abilities of subjects. The main aim of this pilot study was to analyze the effects of the NMC-controlled Achilles, used as an assistive device, on chronic iSCI participants' performance, by assessing gait speed during 10-session training of robot-aided walking. Secondary aims were to assess training impact on participants' motion, clinical and functional features and to evaluate subjective perspective in terms of attitude towards technology, workload, usability and satisfaction. Results showed that 5 training sessions were necessary to significantly improve robot-aided gait speed on short paths and consequently to optimize HRI. Moreover, the training allowed participants who initially were not able to walk for 6 minutes, to improve gait endurance during Achilles-aided walking and to reduce perceived fatigue. Improvements were obtained also in gait speed during free walking, thus suggesting a potential rehabilitative impact, even if Achilles-aided walking was not faster than free walking. Participants' subjective evaluations indicated a positive experience."
188,deep_read,Adaptive Locomotion Control of a Hexapod Robot via Bio-Inspired Learning,2021,Wenjuan Ouyang; Haozhen Chi; Jiangnan Pang; Wenyu Liang; Qinyuan Ren,Frontiers in Neurorobotics,10.3389/fnbot.2021.627157,https://doi.org/10.3389/fnbot.2021.627157,55,legged robot learned dynamics adaptation,Hexapod; Central pattern generator; Computer science; Robot; Reinforcement learning; Controller (irrigation); Adaptability; Robot locomotion; Kinematics; Artificial intelligence; Adaptation (eye); Robot control,Model robot-body/environment dynamics well enough for adaptive locomotion control.,reinforcement-learning objective around a learned model,reward feedback is the main signal for correcting model use,observability of repair-relevant state,"localized action failures, planner-induced counterexamples, and post-failure repair credit assignment",Weakens novelty of any generic online adaptation or residual model-repair framing.,"Whether repairs are selected by decision failures rather than global prediction fit, and whether repair locality is explicit.",10.775,,"In this paper, an adaptive locomotion control approach for a hexapod robot is proposed. Inspired from biological neuro control systems, a 3D two-layer artificial center pattern generator (CPG) network is adopted to generate the locomotion of the robot. The first layer of the CPG is responsible for generating several basic locomotion patterns and the functional configuration of this layer is determined through kinematics analysis. The second layer of the CPG controls the limb behavior of the robot to adapt to environment change in a specific locomotion pattern. To enable the adaptability of the limb behavior controller, a reinforcement learning (RL)-based approach is employed to tune the CPG parameters. Owing to symmetrical structure of the robot, only two parameters need to be learned iteratively. Thus, the proposed approach can be used in practice. Finally, both simulations and experiments are conducted to verify the effectiveness of the proposed control approach."
189,deep_read,Planning in the continuous domain: A generalized belief space approach for autonomous navigation in unknown environments,2015,Vadim Indelman; Luca Carlone; Frank Dellaert,The International Journal of Robotics Research,10.1177/0278364914561102,https://doi.org/10.1177/0278364914561102,152,sim to real robot dynamics adaptation,Probabilistic logic; Discretization; Computer science; Domain (mathematical analysis); Artificial intelligence; Robotics; Robot; State space; Inference; Binary number; Random variable; Mathematical optimization,Transfer a learned or simulated dynamics/action model from source conditions to deployment.,planning by rolling out a learned or hybrid dynamics model; uncertainty-aware model estimation,model errors remain tolerable over the planner horizon; epistemic uncertainty is calibrated enough to guide action,model structure during deployment,planner exploitation of small model errors; out-of-distribution deployment mismatch; miscalibrated confidence around rare failures,Weakens novelty of planner-in-the-loop learned dynamics control.,Whether visually plausible prediction errors are the right unit of correction for embodied decisions.,10.76,,"We investigate the problem of planning under uncertainty, with application to mobile robotics. We propose a probabilistic framework in which the robot bases its decisions on the generalized belief, which is a probabilistic description of its own state and of external variables of interest. The approach naturally leads to a dual-layer architecture: an inner estimation layer, which performs inference to predict the outcome of possible decisions; and an outer decisional layer which is in charge of deciding the best action to undertake. Decision making is entrusted to a model predictive control (MPC) scheme. The formulation is valid for general cost functions and does not discretize the state or control space, enabling planning in continuous domain. Moreover, it allows to relax the assumption of maximum likelihood observations: predicted measurements are treated as random variables, and binary random variables are used to model the event that a measurement is actually taken by the robot. We successfully apply our approach to the problem of uncertainty-constrained exploration, in which the robot has to perform tasks in an unknown environment, while maintaining localization uncertainty within given bounds. We present an extensive numerical analysis of the proposed approach and compare it against related work. In practice, our planning approach produces smooth and natural trajectories and is able to impose soft upper bounds on the uncertainty. Finally, we exploit the results of this analysis to identify current limitations and show that the proposed framework can accommodate several desirable extensions."
